TimeStamp;B10200781A: Flow setpoint (ml/min);B10200781A: Flow (ml/min);B13200860A: Flow setpoint (ml/min);B13200860A: Flow (ml/min)
2025-01-17 15:24:51.444;1,1698002;0,059659097;;0,016723076
2025-01-17 15:24:52.444;1,1698002;0,05743714;2,0798001;0,015605852
2025-01-17 15:24:53.444;1,1698002;0,055179365;2,0798001;0,014516156
2025-01-17 15:24:54.444;1,1698002;0,052961838;2,0798001;0,0135023
2025-01-17 15:24:55.444;1,1698002;0,050793216;2,0798001;0,0126492595
2025-01-17 15:24:56.444;1,1698002;0,04884976;2,0798001;0,011924686
2025-01-17 15:24:57.444;1,1698002;0,04691753;2,0798001;0,014672639
2025-01-17 15:24:58.444;1,1698002;1,8680499;2,0798001;3,387672
2025-01-17 15:24:59.444;1,1698002;2,6459632;2,0798001;1,1790578
2025-01-17 15:25:00.444;1,1698002;3,854737;2,0798001;-1,1142279
2025-01-17 15:25:01.444;1,1698002;2,1670437;2,0798001;-2,209102
2025-01-17 15:25:02.444;1,1698002;3,7501523;2,0798001;2,3782077
2025-01-17 15:25:03.444;1,1698002;4,4636865;2,0798001;3,2067995
2025-01-17 15:25:04.444;1,1698002;3,279518;2,0798001;2,2310505
2025-01-17 15:25:05.444;1,1698002;4,3778977;2,0798001;-0,79565996
2025-01-17 15:25:06.444;1,1698002;1,0124929;2,0798001;-2,1410327
2025-01-17 15:25:07.444;1,1698002;4,439825;2,0798001;1,8756135
2025-01-17 15:25:08.444;1,1698002;-0,601138;2,0798001;3,373953
2025-01-17 15:25:09.444;1,1698002;3,9906876;2,0798001;2,8563328
2025-01-17 15:25:10.444;1,1698002;0,7160652;2,0798001;0,56889653
2025-01-17 15:25:11.444;1,1698002;4,194552;2,0798001;-1,3892546
2025-01-17 15:25:12.444;1,1698002;2,4795713;2,0798001;-0,77684605
2025-01-17 15:25:13.444;1,1698002;3,9612553;2,0798001;3,2469285
2025-01-17 15:25:14.444;1,1698002;4,2242208;2,0798001;3,2298703
2025-01-17 15:25:15.444;1,1698002;3,7778418;2,0798001;1,7279607
2025-01-17 15:25:16.444;1,1698002;4,3265405;2,0798001;-1,0932986
2025-01-17 15:25:17.444;1,1698002;1,5595051;2,0798001;-2,282358
2025-01-17 15:25:18.444;1,1698002;4,3448234;2,0798001;2,4161701
2025-01-17 15:25:19.444;1,1698002;-0,032487884;2,0798001;3,3957071
2025-01-17 15:25:20.444;1,1698002;3,5827837;2,0798001;2,515809
2025-01-17 15:25:21.444;1,1698002;0,9369954;2,0798001;0,06628701
2025-01-17 15:25:22.444;1,1698002;1,4389162;2,0798001;-0,21865022
2025-01-17 15:25:23.444;1,1698002;0,24808115;2,0798001;0,40307906
2025-01-17 15:25:24.444;1,1698002;0,29769325;2,0798001;3,5522473
2025-01-17 15:25:25.444;1,1698002;-0,009572705;2,0798001;3,4223018
2025-01-17 15:25:26.444;1,1698002;-0,08177706;2,0798001;3,541812
2025-01-17 15:25:27.444;1,1698002;0,024223737;2,0798001;3,6335063
2025-01-17 15:25:28.444;1,1698002;0,09263884;2,0798001;3,8269167
