Date/Time	Elapsed Time	Pump 1 Flow (mL/min)	Pump 2 Flow (mL/min)	Pump 3 Flow (mL/min)	Pump 4 Flow (mL/min)	Coriolis Flow (mL/min)	Pump 1 Pressure (bar)	Pump 2 Pressure (bar)	Pump 3 Pressure (bar)	Pump 4 Pressure (bar)	UV detector 1 (mAU) 	UV detector 2 (mAU)
04/04/2023 16:22:03	00:00:01	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	1,00	-0,01	0,00
04/04/2023 16:22:04	00:00:02	1,00	0,00	0,00	0,00	0,03	54,00	0,00	0,00	0,00	0,04	0,00
04/04/2023 16:22:05	00:00:03	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,09	0,00
04/04/2023 16:22:06	00:00:04	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,21	0,00
04/04/2023 16:22:07	00:00:05	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	1,00	0,13	0,00
04/04/2023 16:22:08	00:00:06	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	0,24	0,00
04/04/2023 16:22:09	00:00:07	1,00	0,00	0,00	0,00	0,03	54,00	0,00	1,00	0,00	0,25	0,00
04/04/2023 16:22:10	00:00:08	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,24	0,00
04/04/2023 16:22:11	00:00:09	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,28	0,00
04/04/2023 16:22:12	00:00:10	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,30	0,00
04/04/2023 16:22:13	00:00:11	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,30	0,00
04/04/2023 16:22:14	00:00:12	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	0,34	0,00
04/04/2023 16:22:15	00:00:13	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,37	0,00
04/04/2023 16:22:16	00:00:14	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,39	0,00
04/04/2023 16:22:17	00:00:15	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	1,00	0,41	0,00
04/04/2023 16:22:18	00:00:16	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,39	0,00
04/04/2023 16:22:19	00:00:17	1,00	0,00	0,00	0,00	0,03	51,00	0,00	0,00	0,00	0,39	0,00
04/04/2023 16:22:20	00:00:18	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,43	0,00
04/04/2023 16:22:21	00:00:19	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,41	0,00
04/04/2023 16:22:22	00:00:20	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,38	0,00
04/04/2023 16:22:23	00:00:21	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,42	0,00
04/04/2023 16:22:24	00:00:22	1,00	0,00	0,00	0,00	0,03	52,00	0,00	0,00	0,00	0,40	0,00
