Date/Time	Elapsed Time	Pump 1 Flow (mL/min)	Pump 2 Flow (mL/min)	Pump 3 Flow (mL/min)	Pump 4 Flow (mL/min)	Coriolis Flow (mL/min)	Pump 1 Pressure (bar)	Pump 2 Pressure (bar)	Pump 3 Pressure (bar)	Pump 4 Pressure (bar)	UV detector 1 (mAU) 	UV detector 2 (mAU)
05/04/2023 11:09:21	00:00:01	1,00	0,00	0,00	0,00	0,03	54,00	0,00	1,00	0,00	0,00	0,00
05/04/2023 11:09:22	00:00:02	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,09	0,00
05/04/2023 11:09:23	00:00:03	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,11	0,00
05/04/2023 11:09:24	00:00:04	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,09	0,00
05/04/2023 11:09:25	00:00:05	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,08	0,00
05/04/2023 11:09:26	00:00:06	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	0,07	0,00
05/04/2023 11:09:27	00:00:07	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	1,00	0,11	0,00
05/04/2023 11:09:28	00:00:08	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	0,08	0,00
05/04/2023 11:09:29	00:00:09	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,12	0,00
05/04/2023 11:09:30	00:00:10	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,10	0,00
05/04/2023 11:09:31	00:00:11	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,11	0,00
05/04/2023 11:09:32	00:00:12	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	0,11	0,00
05/04/2023 11:09:33	00:00:13	1,00	0,00	0,00	0,00	0,03	55,00	1,00	1,00	0,00	0,13	0,00
05/04/2023 11:09:34	00:00:14	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,12	0,00
05/04/2023 11:09:35	00:00:15	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,14	0,00
05/04/2023 11:09:36	00:00:16	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,12	0,00
05/04/2023 11:09:37	00:00:17	1,00	0,00	0,00	0,00	0,03	52,00	0,00	0,00	0,00	0,17	0,00
05/04/2023 11:09:38	00:00:18	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,15	0,00
05/04/2023 11:09:39	00:00:19	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,13	0,00
